id,question,answers,label
1012500,"What is the duration of Undergraduate and Graduate Programs?
","{'answer_start': [7049], 'text': ['The normal duration of bachelorâ€™s degree at PIEAS is 4(four) years and Masterâ€™s Degree is 2(two) years.']}",Programs
1012541,"What are the different divisions at PIEAS?
","{'answer_start': [4157], 'text': ['The different divisions at PIEAS include the Academic Services Division, Computational & Internet Services Division, Registration and Examination Division, Residential Services Division, Student Affairs Division, and Public Relations Section.']}",Programs
1012500,"What is the duration of Undergraduate and Graduate Programs?
","{'answer_start': [7049], 'text': ['The normal duration of bachelorâ€™s degree at PIEAS is 4(four) years and Masterâ€™s Degree is 2(two) years.']}",Programs
1012533,"Can a candidate apply for more than one program at Masterâ€™s level?
","{'answer_start': [2095], 'text': ['he candidate needs to take the test in his/her basic degree (e.g., Electrical Engineering-Power). Once he/she gets selected the candidate will be placed in a specific program in zero semester.']}",Programs
1012541,"What are the different divisions at PIEAS?
","{'answer_start': [4157], 'text': ['The different divisions at PIEAS include the Academic Services Division, Computational & Internet Services Division, Registration and Examination Division, Residential Services Division, Student Affairs Division, and Public Relations Section.']}",Programs
1012546,"What are the major courses offered in PIEAS? 
","{'answer_start': [2173], 'text': ['PIEAS offers undergraduate and postgraduate programs in various fields, including Computer and Information Sciences (CIS), Electrical Engineering (EE), Mechanical Engineering (ME), Materials Science and Engineering (MME), Chemical Engineering, and Physics.']}",Programs
1012615,"What is the total fee without hostel accommodation for BS programs at PIEAS?
","{'answer_start': [3233], 'text': ['For the first semester: Rs 116,000/-\nFor regular semesters of BS* programs based on 18 credit hours: Rs 76,000/-\n']}",Programs
1012576,What is the purpose of the ELMS program launched by HEC in collaboration with Microsoft?,"{'answer_start': [2327], 'text': ['The ELMS program ensures the availability of genuine (licensed) software to faculty and students. For further information, visit PIEAS official website pieas.edu.pk.\n']}",Programs
1012575,"What is the ELMS program, and what is its collaboration with Microsoft aimed at?","{'answer_start': [4251], 'text': ['ELMS (Electronic License Management System) is a program launched by the Higher Education Commission (HEC) in collaboration with Microsoft. It provides genuine (licensed) software accessibility to faculty and students']}",Programs
1012572,"What is the purpose of the Digital Library Program in the CISD?
","{'answer_start': [3468], 'text': ['The CISD executes the Digital Library Program, which grants researchers in the university access to international scholarly literature through electronic delivery. It provides access to high-quality, peer-reviewed journals, databases, articles, and e-books across various disciplines.']}",Programs
1012590,"How many questions are included in the written test for BS programs?
","{'answer_start': [1815], 'text': ['The written test consists of 100 questions.']}",Programs
