id,question,answers,label
1012538,"Does PIEAS have a duplication section? What services does it offer?
","{'answer_start': [3363], 'text': ['Yes, PIEAS has a duplication section that provides photocopying and binding facilities for faculty, officers, and students.']}",Hostels
10125250,"Do PIEAS provide hostel accommodation to all students?
","{'answer_start': [55], 'text': ['PIEAS has seven boyâ€™s hostels and one girlâ€™s hostel, where accommodation is made available to students on first come first serve basis. Preference is given to the students whose domiciles are outside Rawalpindi and Islamabad.']}",Hostels
1012540,"What facilities are available in the Academic Services Division?
","{'answer_start': [3763], 'text': ['The Academic Services Division offers facilities such as multimedia and overhead projectors in lecture theatres and conference rooms, sound systems in lecture theatres and conference rooms, photocopying and duplicating machines for faculty, officers, and students, arrangements for photography and videography, and management of the PIEAS auditorium.']}",Hostels
10125250,"Do PIEAS provide hostel accommodation to all students?
","{'answer_start': [55], 'text': ['PIEAS has seven boyâ€™s hostels and one girlâ€™s hostel, where accommodation is made available to students on first come first serve basis. Preference is given to the students whose domiciles are outside Rawalpindi and Islamabad.']}",Hostels
1012540,"What facilities are available in the Academic Services Division?
","{'answer_start': [3763], 'text': ['The Academic Services Division offers facilities such as multimedia and overhead projectors in lecture theatres and conference rooms, sound systems in lecture theatres and conference rooms, photocopying and duplicating machines for faculty, officers, and students, arrangements for photography and videography, and management of the PIEAS auditorium.']}",Hostels
1012553,"What kind of facilities does PIEAS have for students?
","{'answer_start': [4108], 'text': ['PIEAS provides various facilities for students, including well-equipped laboratories, a library with a vast collection of books and research journals, sports facilities, hostels for accommodation, and a cafeteria.']}",Hostels
1012580,What internet facilities are provided by CISD?,"{'answer_start': [1083], 'text': ['CISD provides internet facilities through dedicated proxy servers with a speed of 156Mbps. This allows users to access e-resources comfortably. For further information, visit PIEAS official website pieas.edu.pk.\n']}",Hostels
1012614,"What is the total fee including hostel accommodation for BS programs at PIEAS?
","{'answer_start': [30035], 'text': ['For the first semester: Rs 129,000/-\nFor regular semesters of BS* programs based on 18 credit hours: Rs 89,000/-']}",Hostels
1012460,"Do PIEAS provide hostel accommodation to all students?
","{'answer_start': [642], 'text': ['PIEAS has seven boyâ€™s hostels and one girlâ€™s hostel, where accommodation is made available to almost all students whose domiciles are outside Rawalpindi and Islamabad.']}",Hostels
625620,Does Pieas has his own hostels?,"{'answer_start': [3827], 'text': ['Yes, PIEAS has 7 male and 1 female hostel for accommodating students.']}",Hostels
625621,Does Pieas issue accomodation to every candidate who apply for hostel?,"{'answer_start': [3477], 'text': ['No, Pieas does not allow hostel accomodation to either the residents or domicile holders of Rawalpindi and Islamabad.']}",Hostels
625597,FEE structure of pieas?,"{'answer_start': [10268], 'text': ['The total fee structure of a smester can be viewed from the link: http://admissions.pieas.edu.pk/Admissions/Contents/FeeStructureCombinedVer14FINALBS.pdf']}",Hostels
625700,In which block Computer Centre is located?,"{'answer_start': [14007], 'text': ['It is located in B Block.']}",Hostels
625625,Is hostel accommodation provided to students?,"{'answer_start': [3351], 'text': ['Yes, Pieas has its own 8 hostels,7 of which are for males and 1 for females.Another female hostel is also under construction.']}",Hostels
