id,question,answers,label
1012481,"Can a candidate appear for the written test in his/her hometown?
","{'answer_start': [4242], 'text': ['PIEAS admission test is conducted in many major cities of Pakistan. A student can appear in any of these centers nearest to his/her home town.']}",Admissions
1012478,"What are the eligibility criteria for admission in different undergraduate programs?
","{'answer_start': [3638], 'text': ['Please refer to Information Leaflet.']}",Admissions
1012455,"What does the word PIEAS stands for?
","{'answer_start': [38], 'text': ['PIEAS is an abbreviation of Pakistan Institute of Engineering and Applied Sciences.']}",Admissions
1012473,"What is the deadline for submission of SAT score?
","{'answer_start': [2882], 'text': ['SAT scores must be sent to Registrar, PIEAS not later than the deadline mentioned in the admission advertisement.']}",Admissions
1012492,"What is the pattern of the admission test?
","{'answer_start': [5996], 'text': ['Sample paper is available on PIEAS website.']}",Admissions
1012469,"What is the procedure for application for admission in PIEAS?
","{'answer_start': [2011], 'text': ['A candidate seeking admission in PIEAS has to apply online through a link on PIEAS website.']}",Admissions
1012475,"What is the processing fee for online registration for Admission?
","{'answer_start': [3064], 'text': ['Please refer to fee structure']}",Admissions
1012491,"What is the syllabus of Entry Test subjects and the format of questions?
","{'answer_start': [5913], 'text': ['Sample test are available on our website.']}",Admissions
1012461,"What is the university ranking of PIEAS?
","{'answer_start': [853], 'text': ['Pakistan Institute of Engineering and Applied Sciences (PIEAS) has been ranked as the second best Engineering University of Pakistan according to HEC ranking 2015. PIEAS is also 115 in the top 250 Asian Universities in the Quacquarelli Symonds (QS) ranking of 2015.']}",Admissions
1012497,"When is the final list for successful candidates displayed?
","{'answer_start': [6701], 'text': ['A list of successful candidates is made available on our website after about 4-6 weeks of the admission written test.']}",Admissions
1012464,"When PIEAS offers admissions in its programs?
","{'answer_start': [1618], 'text': ['PIEAS offers admission once a year in fall semester (September) every year.']}",Admissions
1012458,"Where is PIEAS located?
","{'answer_start': [374], 'text': ['PIEAS is located in Nilore which is a suburb town 26km from Islamabad.']}",Admissions
1012471,"Who can apply for admission, in PIEAS BS programs, on the basis of SAT?
","{'answer_start': [2307], 'text': ['All Pakistani nationals of both Matric / F.Sc. or O / A level streams are eligible to compete on the basis of SAT score. Admission shall be based on SAT II result of three subjects (Physics, Chemistry and Mathematics level II). The SAT score should be at least 2000 or more. The PIEAS institutional code to receive SAT scores is 7272.']}",Admissions
1012518,Whom should I contact for queries about PIEAS Entry Test for Undergraduate/Graduate Programs?,"{'answer_start': [5791], 'text': ['Director Academics, PIEAS.\nadmissions@pieas.edu.pk']}",Admissions
1012519,Would the admission processing fee / security deposit be refundable in case a candidate name does not appear in the merit list?,"{'answer_start': [5434], 'text': ['No. Admission processing fee once deposited cannot be refunded.']}",Admissions
