id,question,answers,label
1012459,"How do students commute to and from PIEAS?
","{'answer_start': [490], 'text': ['PIEAS has dedicated bus shuttle service for its students residing in Rawalpindi and Islamabad.']}",Transport
625605,Is there any university transport services for dayscholars?,"{'answer_start': [943], 'text': ['Yes, Daysholars can avail transport facilities of university by paying Rs.15,000 per semester.']}",Transport
625635,Is there any university transport services for dayscholars?,"{'answer_start': [943], 'text': ['Yes, Daysholars can avail transport facilities of university by paying Rs.15,000 per semester.']}",Transport
690571,Is there any transport facility in PIEAS?,"{'answer_start': [18943], 'text': ['Yes, there is a transport facility. PIEAS buses depart at 2 pm and 4 pm from PIEAS. The buses usually go to Faizabad or Islamabad city or Saddar. Their daily schedule can be checked in the morning at PIEAS reception. They also bring the students back to PIEAS at 7:30 pm (Monday to Friday during odd days only) and 8 pm (on Sunday) from Faizabad and Saddar.']}",Transport
690521,Is there any university transport services for dayscholars?,"{'answer_start': [0], 'text': ['0']}",Transport
690572,Is transport facility free?,"{'answer_start': [19330], 'text': ['If you are a day-scholar, then you will have to pay R.s 16,000 to avail transport facility daily. For residents of hostels, the transport charges are accommodated in the semester fees (this fees is smaller because of less consumption). No one wants to go out so far daily. Usually, when students go to their homes, they avail this transport.']}",Transport
690595,What does transport services of PIEAS look like?,"{'answer_start': [28212], 'text': ['A bus service has been arranged for the boarding students to travel to and from Rawalpindi/ Islamabad throughout each semester at scheduled hours. Private bus services also operate between Nilore, Rawalpindi and Islamabad. Students are also provided official transport for excursions, study tours and, in some cases, emergencies. The provisions for excursions and emergencies may be charged.']}",Transport
690600,What is PIEAS Timings?,"{'answer_start': [29787], 'text': ['Mon - Fri 8:00 AM - 4:00 PM']}",Transport
690520,Is there any university transport services for dayscholars?,"{'answer_start': [1067], 'text': ['Yes, Daysholars can avail transport facilities of university by paying Rs.17,000 per semester.']}",Transport
690842,Are there any shops in vicinity of PIEAS?,"{'answer_start': [87053], 'text': ['A post office, a bank and shops for commonly required items are available in the vicinity of PIEAS.']}",Transport
690843,Is there any ATM in vicinity of PIEAS?,"{'answer_start': [86911], 'text': ['A post office, a bank and shops for commonly required items are available in the vicinity of PIEAS.']}",Transport
690848,Is there any bank near PIEAS?,"{'answer_start': [86143], 'text': ['A post office, a bank and shops for commonly required items are available in the vicinity of PIEAS.']}",Transport
690846,Is there any grocery shop near PIEAS?,"{'answer_start': [86442], 'text': ['A post office, a bank and shops for commonly required items are available in the vicinity of PIEAS.']}",Transport
690850,Is there any post office near PIEAS?,"{'answer_start': [85845], 'text': ['A post office, a bank and shops for commonly required items are available in the vicinity of PIEAS.']}",Transport
625605,Is there any university transport services for dayscholars?,"{'answer_start': [943], 'text': ['Yes, Daysholars can avail transport facilities of university by paying Rs.15,000 per semester.']}",Transport
625635,Is there any university transport services for dayscholars?,"{'answer_start': [943], 'text': ['Yes, Daysholars can avail transport facilities of university by paying Rs.15,000 per semester.']}",Transport
647133,Where does Route 41 start and end?,"{'answer_start': [263], 'text': ['It starts from sultana foundation and ends at khayaban Sir Syed']}",Transport
647131,Who is the driver for Route 41?,"{'answer_start': [235], 'text': ['Sajid Ali Khan']}",Transport
647142,What is the route number for the bus that goes to TRALI ADDA,"{'answer_start': [471], 'text': ['Route 41']}",Transport
647126,What are the stops on Route 41?,"{'answer_start': [9], 'text': ['SULTANA FOUNDATION, BURMA, KHANA, TRALI ADDA, 08 NO.CHUNGI, HAJI CHOWK, BILAL HOSPITAL, CHANDNI CHOWK, NATIONAL MARKET, KALI TANKI, ASGHAR MALL, T.B HOSPITAL, CHUNGI NO.4, CHEEMA PLAZA, GOLDEN CNG, KHAYABAN.SIR SYED']}",Transport
647132,What is the contact number for the driver of Route 41?,"{'answer_start': [250], 'text': ['0300-9137948']}",Transport
647136,What is the route number for the bus that goes to BURMA,"{'answer_start': [327], 'text': ['Route 41']}",Transport
647137,What is the route number for the bus that goes to KHANA,"{'answer_start': [327], 'text': ['Route 41']}",Transport
647134,What is the route number for the bus that goes to Rawalpindi,"{'answer_start': [327], 'text': ['Route 41']}",Transport
647135,What is the route number for the bus that goes to sultana foundation,"{'answer_start': [327], 'text': ['Route 41']}",Transport
647130,What is the vehicle number for Route 41?,"{'answer_start': [226], 'text': ['MIB-2673']}",Transport
647279,What is the name of the driver for the bus that goes to KHAYABAN.SIR SYED,"{'answer_start': [1064], 'text': ['Sajid Ali Khan']}",Transport
647266,What is the name of the driver for the bus that goes to KHANA,"{'answer_start': [1049], 'text': ['Sajid Ali Khan']}",Transport
647249,What is the vehicle number for the bus that goes to TRALI ADDA,"{'answer_start': [701], 'text': ['MIB-2673']}",Transport
647246,What is the vehicle number for the bus that goes to sultana foundation,"{'answer_start': [701], 'text': ['MIB-2673']}",Transport
647245,What is the vehicle number for the bus that goes to rawalpindi,"{'answer_start': [701], 'text': ['MIB-2673']}",Transport
647255,What is the vehicle number for the bus that goes to  NATIONAL MARKET,"{'answer_start': [701], 'text': ['MIB-2673']}",Transport
647248,What is the vehicle number for the bus that goes to KHANA,"{'answer_start': [701], 'text': ['MIB-2673']}",Transport
647254,What is the vehicle number for the bus that goes to CHANDNI CHOWK,"{'answer_start': [701], 'text': ['MIB-2673']}",Transport
647251,What is the vehicle number for the bus that goes to HAJI CHOWK,"{'answer_start': [701], 'text': ['MIB-2673']}",Transport
647247,What is the vehicle number for the bus that goes to BURMA,"{'answer_start': [701], 'text': ['MIB-2673']}",Transport
647253,What is the vehicle number for the bus that goes to BILAL HOSPITAL,"{'answer_start': [701], 'text': ['MIB-2673']}",Transport
647252,What is the vehicle number for the bus that goes to BILAL HOSPITAL,"{'answer_start': [701], 'text': ['MIB-2673']}",Transport
647250,What is the vehicle number for the bus that goes to 08 NO.CHUNGI,"{'answer_start': [701], 'text': ['MIB-2673']}",Transport
647258,What is the vehicle number for the bus that goes to  T.B HOSPITAL,"{'answer_start': [845], 'text': ['MIB-2673']}",Transport
647262,What is the vehicle number for the bus that goes to KHAYABAN.SIR SYED,"{'answer_start': [845], 'text': ['MIB-2673']}",Transport
647256,What is the vehicle number for the bus that goes to KALI TANKI,"{'answer_start': [845], 'text': ['MIB-2673']}",Transport
647261,What is the vehicle number for the bus that goes to GOLDEN CNG,"{'answer_start': [845], 'text': ['MIB-2673']}",Transport
647259,What is the vehicle number for the bus that goes to  CHUNGI NO.4,"{'answer_start': [845], 'text': ['MIB-2673']}",Transport
647260,What is the vehicle number for the bus that goes to  CHEEMA PLAZA,"{'answer_start': [845], 'text': ['MIB-2673']}",Transport
647257,What is the vehicle number for the bus that goes to ASGHAR MALL,"{'answer_start': [845], 'text': ['MIB-2673']}",Transport
647263,What is the name of the driver for the bus that goes to sultana foundation,"{'answer_start': [854], 'text': ['Sajid Ali Khan']}",Transport
647264,What is the name of the driver for the bus that goes to BURMA,"{'answer_start': [854], 'text': ['Sajid Ali Khan']}",Transport
647267,What is the name of the driver for the bus that goes to TRALI ADDA,"{'answer_start': [1094], 'text': ['Sajid Ali Khan']}",Transport
647275,What is the name of the driver for the bus that goes to  T.B HOSPITAL,"{'answer_start': [1094], 'text': ['Sajid Ali Khan']}",Transport
647265,What is the name of the driver for the bus that goes to rawalpindi,"{'answer_start': [1064], 'text': ['Sajid Ali Khan']}",Transport
647272,What is the name of the driver for the bus that goes to  NATIONAL MARKET,"{'answer_start': [1064], 'text': ['Sajid Ali Khan']}",Transport
647273,What is the name of the driver for the bus that goes to KALI TANKI,"{'answer_start': [1049], 'text': ['Sajid Ali Khan']}",Transport
647278,What is the name of the driver for the bus that goes to GOLDEN CNG,"{'answer_start': [1064], 'text': ['Sajid Ali Khan']}",Transport
647276,What is the name of the driver for the bus that goes to  CHUNGI NO.4,"{'answer_start': [1049], 'text': ['Sajid Ali Khan']}",Transport
647277,What is the name of the driver for the bus that goes to  CHEEMA PLAZA,"{'answer_start': [1049], 'text': ['Sajid Ali Khan']}",Transport
647271,What is the name of the driver for the bus that goes to CHANDNI CHOWK,"{'answer_start': [1064], 'text': ['Sajid Ali Khan']}",Transport
647270,What is the name of the driver for the bus that goes to BILAL HOSPITAL,"{'answer_start': [1049], 'text': ['Sajid Ali Khan']}",Transport
647274,What is the name of the driver for the bus that goes to ASGHAR MALL,"{'answer_start': [1064], 'text': ['Sajid Ali Khan']}",Transport
